1 41160 85
2 26695 250
3 11680 148
4 7433 157
5 7494 183
6 7624 250
7 7576 263
8 7326 253
9 7337 307
10 7699 131
11 7388 290
12 7373 247
13 8679 190
14 7489 292
15 7499 256
16 8307 219
17 7568 393
18 7393 279
19 7629 199
20 7265 193
21 7385 213
22 7473 239
23 7783 343
24 7616 214
25 7973 321
26 7687 108
27 7359 157
28 7401 263
29 8030 145
30 7625 240
31 8057 265
32 7545 207
33 7514 276
34 7465 222
35 7732 119
36 7414 246
37 7448 169
38 7537 173
39 7415 197
40 7254 276
41 7486 303
42 7353 208
43 7420 157
44 7548 141
45 7714 190
46 7676 290
47 7449 346
48 7814 178
49 29165 14609
50 7440 200
51 7428 399
52 7448 217
53 7611 239
54 7685 329
55 7467 179
56 7400 214
57 7320 293
58 7664 238
59 8947 254
60 7683 219
61 7805 225
62 7511 223
63 7671 276
64 7553 143
65 7632 387
66 7540 288
67 7394 157
68 9313 2537
69 7409 208
70 7433 222
71 7484 255
72 7738 615
73 7424 302
74 20231 105
75 7826 232
76 7298 302
77 7940 630
78 7378 179
79 7364 118
80 7651 259
81 7404 240
82 7347 209
83 7438 310
84 7259 41
85 7306 196
86 7436 262
87 7512 389
88 7277 92
89 7327 292
90 7243 399
91 7614 158
92 7297 282
93 7446 216
94 7356 265
95 7376 207
96 7667 350
97 7424 97
98 7483 280
99 7491 241
100 7408 180
101 7701 242
102 7511 205
103 7278 100
104 7277 191
105 7383 183
106 7387 270
107 7294 8
108 7255 199
109 7423 315
110 7313 152
111 7339 234
112 7606 381
113 7269 155
114 7438 240
115 7373 369
116 7290 142
117 7384 362
118 7272 286
119 7233 119
120 7385 235
121 7919 281
122 7379 162
123 7358 248
124 7332 305
125 7249 132
126 7542 155
127 12122 272
128 7614 235
129 7281 249
130 7402 259
131 7430 388
132 7462 263
133 7369 188
134 7391 271
135 7303 56
136 7361 206
137 7460 358
138 7227 167
139 25204 188
140 13129 4545
141 9392 677
142 7227 181
143 7501 305
144 7595 175
145 7199 126
146 7208 15
147 7432 296
148 7186 152
149 7524 230
150 7428 109
151 7581 259
152 7388 273
153 7586 285
154 7331 293
155 7301 173
156 7553 267
157 7421 265
158 7465 138
159 7475 112
160 7812 214
161 18238 10877
162 7407 156
163 7505 207
164 7758 471
165 13241 5880
166 7671 385
167 7657 337
168 7424 194
169 7464 206
170 7384 214
171 7225 197
172 7479 208
173 7432 204
174 7385 246
175 7412 256
176 7528 167
177 7257 47
178 7320 174
179 7435 306
180 7355 236
181 7842 149
182 7412 201
183 7407 249
184 7420 316
185 7294 262
186 7485 240
187 7517 176
188 7432 225
189 7693 255
190 7437 319
191 7460 255
192 7514 153
193 7479 261
194 7418 149
195 7457 199
196 7421 287
197 7655 325
198 7225 213
199 7285 226
200 7370 403
201 7245 151
202 7447 239
203 7428 243
204 7272 79
205 7297 250
206 7244 150
207 7301 195
208 7546 231
209 7473 224
210 7860 185
211 7550 272
212 7356 196
213 7489 207
214 7421 172
215 7259 296
216 7519 267
217 7309 169
218 7286 201
219 7415 216
220 7364 222
221 7397 239
222 7391 242
223 7425 209
224 7572 236
225 7524 244
226 7442 194
227 7876 284
228 7427 371
229 7203 63
230 7477 123
231 7383 297
232 7647 104
233 7197 187
234 7306 309
235 7286 111
236 7185 194
237 7247 198
238 7517 288
239 7188 202
240 7506 316
241 7466 59
242 7471 162
243 7404 187
244 7468 173
245 7313 208
246 7478 180
247 7519 225
248 7341 201
249 7450 299
250 7485 216
251 7416 240
