#| Rate/Scale | 2+2   | 4+4   | 6+6   | 8+8   | 10+10 | 12+12 | 14+14 | 16+16 |
1024 99.690 99.373 98.968 98.723 98.478 98.202 97.733 97.484
2048 99.743 99.470 98.941 98.554 98.216 98.236 97.763 97.296
4096 99.696 99.405 98.978 98.778 98.380 98.194 97.964 97.474
8192 99.671 99.361 99.006 98.723 98.423 98.051 97.692 97.457
16384 99.662 99.332 99.000 98.668 98.334 98.046 97.679 97.479
32768 99.651 99.310 98.970 98.630 98.306 97.986 97.593 97.275
65536 99.625 99.257 98.893 98.520 98.155 98.009 97.417 97.040
131072 99.558 99.121 98.756 98.250 97.960 0 0 0
